ecfp_feature_25,ecfp_feature_33,ecfp_feature_39,ecfp_feature_45,ecfp_feature_98,ecfp_feature_112,ecfp_feature_116,ecfp_feature_128,ecfp_feature_136,ecfp_feature_144,ecfp_feature_147,ecfp_feature_191,ecfp_feature_202,ecfp_feature_233,ecfp_feature_278,ecfp_feature_294,ecfp_feature_314,ecfp_feature_333,ecfp_feature_344,ecfp_feature_352,ecfp_feature_356,ecfp_feature_360,ecfp_feature_361,ecfp_feature_375,ecfp_feature_378,ecfp_feature_433,ecfp_feature_452,ecfp_feature_578,ecfp_feature_650,ecfp_feature_674,ecfp_feature_694,ecfp_feature_725,ecfp_feature_726,ecfp_feature_780,ecfp_feature_790,ecfp_feature_801,ecfp_feature_807,ecfp_feature_830,ecfp_feature_831,ecfp_feature_849,ecfp_feature_875,ecfp_feature_888,ecfp_feature_896,ecfp_feature_930,ecfp_feature_932,ecfp_feature_935,ecfp_feature_940,ecfp_feature_960,ecfp_feature_963,ecfp_feature_969,ecfp_feature_1004,ecfp_feature_1009,radius,diameter,num_heteroatoms,num_rotatable_bonds,num_h_acceptors,num_h_donors,tpsa,mol_wt,o%,n%,c%,capacity_max,smiles
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,0.0,2.0,0.0,47.58,228.068748256,0.0,0.1111111111111111,0.8888888888888888,589.0,N#CC1=C2C(C=CC=C2)=C(C3=CC=CC=C31)C#N
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,3.0,0.0,60.47,129.032697096,0.0,0.3,0.7,66.0,N#CC1=CC(C#N)=CN=C1
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,2.0,1.0,2.0,0.0,47.58,204.068748256,0.0,0.125,0.875,280.0,N#CC1=CC=C(C=C1)C2=CC=C(C=C2)C#N
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,4.0,1.0,4.0,0.0,73.36,206.059246192,0.0,0.25,0.75,393.0,N#CC1=CC=C(N=C1)C2=CC=C(C=N2)C#N
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,3.0,0.0,60.47,129.032697096,0.0,0.3,0.7,406.0,N#CC1=CC=CC(C#N)=N1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,4.0,0.0,0.0,4.0,6.0,0.0,4.0,4.0,0.0,0.0,26.0,0.0,6.0,0.0,6.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,24.0,10.0,0.0,2.0,0.0,0.0,6.0,26.0,2.0,4.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,30.0,16.0,8.0,16.0,8.0,259.56,890.2825975680001,0.058823529411764705,0.17647058823529413,0.7647058823529411,423.0,NC1=CC=C(C2=NC(C3=CC=C(C=C3)N(C(C4=C5C=C(C6=C4)C(N(C(C=C7)=CC=C7C8=NC(C9=CC=C(C=C9)N)=NC(C%10=CC=C(C=C%10)N)=N8)C6=O)=O)=O)C5=O)=NC(C%11=CC=C(C=C%11)N)=N2)C=C1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,4.0,0.0,0.0,4.0,6.0,0.0,4.0,0.0,0.0,4.0,28.0,0.0,6.0,0.0,6.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,28.0,10.0,0.0,2.0,0.0,0.0,6.0,28.0,0.0,4.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,31.0,16.0,8.0,16.0,8.0,256.18,940.298247632,0.05555555555555555,0.16666666666666666,0.7777777777777778,388.0,NC1=CC=C(C2=NC(C3=CC=C(C=C3)N(C(C4=CC=C5C6=C4C7=CC=C6C(N(C8=CC=C(C9=NC(C%10=CC=C(N)C=C%10)=NC(C%11=CC=C(N)C=C%11)=N9)C=C8)C5=O)=O)=O)C7=O)=NC(C%12=CC=C(C=C%12)N)=N2)C=C1
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,3.0,1.0,6.0,3.0,0.0,0.0,2.0,0.0,3.0,10.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,18.0,13.0,7.0,13.0,6.0,216.34000000000003,533.156000088,0.1,0.225,0.675,310.0,NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=C(O)C(C=O)=C4)N=C3)=NC(C5=CN=C(N)C=C5)=N2
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0,6.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0,6.0,3.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,18.0,14.0,7.0,14.0,7.0,236.57,549.150914708,0.12195121951219512,0.21951219512195122,0.6585365853658537,400.0,NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=C(O)C(C=O)=C4O)N=C3)=NC(C5=CN=C(N)C=C5)=N2
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,6.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,6.0,3.0,0.0,0.0,1.0,0.0,3.0,11.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,9.0,18.0,12.0,7.0,12.0,5.0,196.11,517.1610854680001,0.07692307692307693,0.23076923076923078,0.6923076923076923,400.0,NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=CC(C=O)=C4)N=C3)=NC(C5=CN=C(N)C=C5)=N2
