maccsfingerprint16,maccsfingerprint23,maccsfingerprint24,maccsfingerprint27,maccsfingerprint35,maccsfingerprint37,maccsfingerprint40,maccsfingerprint41,maccsfingerprint44,maccsfingerprint45,maccsfingerprint46,maccsfingerprint48,maccsfingerprint49,maccsfingerprint50,maccsfingerprint51,maccsfingerprint52,maccsfingerprint53,maccsfingerprint54,maccsfingerprint55,maccsfingerprint56,maccsfingerprint57,maccsfingerprint58,maccsfingerprint59,maccsfingerprint60,maccsfingerprint61,maccsfingerprint62,maccsfingerprint63,maccsfingerprint64,maccsfingerprint66,maccsfingerprint68,maccsfingerprint69,maccsfingerprint70,maccsfingerprint72,maccsfingerprint73,maccsfingerprint74,maccsfingerprint75,maccsfingerprint76,maccsfingerprint77,maccsfingerprint78,maccsfingerprint79,maccsfingerprint80,maccsfingerprint81,maccsfingerprint82,maccsfingerprint83,maccsfingerprint84,maccsfingerprint85,maccsfingerprint86,maccsfingerprint87,maccsfingerprint88,maccsfingerprint89,maccsfingerprint90,maccsfingerprint91,maccsfingerprint92,maccsfingerprint93,maccsfingerprint94,maccsfingerprint95,maccsfingerprint96,maccsfingerprint97,maccsfingerprint98,maccsfingerprint99,maccsfingerprint100,maccsfingerprint101,maccsfingerprint102,maccsfingerprint104,maccsfingerprint105,maccsfingerprint106,maccsfingerprint108,maccsfingerprint109,maccsfingerprint110,maccsfingerprint111,maccsfingerprint112,maccsfingerprint113,maccsfingerprint116,maccsfingerprint117,maccsfingerprint118,maccsfingerprint119,maccsfingerprint120,maccsfingerprint121,maccsfingerprint122,maccsfingerprint123,maccsfingerprint124,maccsfingerprint125,maccsfingerprint126,maccsfingerprint127,maccsfingerprint128,maccsfingerprint129,maccsfingerprint130,maccsfingerprint132,maccsfingerprint133,maccsfingerprint134,maccsfingerprint135,maccsfingerprint136,maccsfingerprint137,maccsfingerprint138,maccsfingerprint139,maccsfingerprint140,maccsfingerprint141,maccsfingerprint142,maccsfingerprint143,maccsfingerprint144,maccsfingerprint145,maccsfingerprint146,maccsfingerprint147,maccsfingerprint148,maccsfingerprint149,maccsfingerprint150,maccsfingerprint151,maccsfingerprint152,maccsfingerprint153,maccsfingerprint154,maccsfingerprint155,maccsfingerprint156,maccsfingerprint157,maccsfingerprint158,maccsfingerprint159,maccsfingerprint160,maccsfingerprint163,capacity_max,smiles
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,72.75,COc1ccc(C(c2ccc(OC)cc2)=c2c3ccccc3c(=C(c3ccc(OC)cc3)c3ccc(OC)cc3)c3ccccc23)cc1
0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,269.0,Cc1ccc2nc(-n3c(-c4ccc(C#N)cc4)cc4c3cc(-c3ccc(-c5nc(-c6ccc(-c7cc8c(cc(-c9ccc(C#N)cc9)n8-c8nc9ccc(C)cc9s8)n7-c7nc8ccc(C)cc8s7)cc6)nc(-c6ccc(-c7cc8c(cc(-c9ccc(C#N)cc9)n8-c8nc9ccc(C)cc9s8)n7-c7nc8ccc(C)cc8s7)cc6)n5)cc3)n4-c3nc4ccc(C)cc4s3)sc2c1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,228.0,Clc1nc(Cl)nc(-c2ccc(-c3cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)c3)cc2)n1
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,98.4,Clc1nc(Cl)nc(-c2ccc(C(c3ccc(-c4nc(Cl)nc(Cl)n4)cc3)=c3c4ccccc4c(=C(c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)c4ccccc34)cc2)n1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,404.0,N#C/C=C/c1nc(/C=C/C#N)nc(/C=C/C#N)n1
0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,383.0,N#CC(C#N)=c1ccc(=C(C#N)c2nc(C(C#N)=c3ccc(=C(C#N)C#N)cc3)nc(C(C#N)=c3ccc(=C(C#N)C#N)cc3)n2)cc1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,500.0,N#Cc1cc(C#N)c2ccc3c(-c4nc(-c5cc(C#N)c6ccc7c(C#N)cc(C#N)c8ccc5c6c78)nc(-c5cc(C#N)c6ccc7c(C#N)cc(C#N)c8ccc5c6c78)n4)cc(C#N)c4ccc1c2c43
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,628.0,N#Cc1ccc(/C=C/C(/C=C/c2ccc(C#N)cc2)/C=C/c2ccc(-c3nc(-c4ccc(/C=C/C(/C=C/c5ccc(C#N)cc5)/C=C/c5ccc(C#N)cc5)cc4)nc(-c4ccc(/C=C/C(/C=C/c5ccc(C#N)cc5)/C=C/c5ccc(C#N)cc5)cc4)n3)cc2)cc1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,256.0,N#Cc1ccc(-n2[nH]c(=O)c3cc4c(=O)n(-c5ccc(-c6nc(-c7ccc(-n8[nH]c(=O)c9cc%10c(=O)n(-c%11ccc(C#N)cc%11)[nH]c(=O)c%10cc9c8=O)cc7)nc(-c7ccc(-n8[nH]c(=O)c9cc%10c(=O)n(-c%11ccc(C#N)cc%11)[nH]c(=O)c%10cc9c8=O)cc7)n6)cc5)[nH]c(=O)c4cc3c2=O)cc1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,231.0,N#Cc1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(-c6nc(-c7ccc(-n8c(=O)c9cc%10c(=O)n(-c%11ccc(C#N)cc%11)c(=O)c%10cc9c8=O)cc7)nc(-c7ccc(-n8c(=O)c9cc%10c(=O)n(-c%11ccc(C#N)cc%11)c(=O)c%10cc9c8=O)cc7)n6)cc5)c(=O)c4cc3c2=O)cc1
